netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W48,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE2<4>,CFG_BBMUXE2<8>,CFG_BBMUXE2<5>,CFG_BBMUXE2<2>,CFG_BBMUXE2<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W49,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE3<4>,CFG_BBMUXE3<8>,CFG_BBMUXE3<5>,CFG_BBMUXE3<2>,CFG_BBMUXE3<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W50,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W51,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE3<9>,CFG_BBMUXE3<7>,CFG_BBMUXE3<6>,CFG_BBMUXE3<3>,CFG_BBMUXE3<1>,CFG_SEAMMUX<95>,CFG_SEAMMUX<94>,CFG_SEAMMUX<93>,CFG_SEAMMUX<92>,CFG_SEAMMUX<91>,CFG_SEAMMUX<90>,
W52,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE4<9>,CFG_BBMUXE4<7>,CFG_BBMUXE4<6>,CFG_BBMUXE4<3>,CFG_BBMUXE4<1>,CFG_SEAMMUX<101>,CFG_SEAMMUX<100>,CFG_SEAMMUX<99>,CFG_SEAMMUX<98>,CFG_SEAMMUX<97>,CFG_SEAMMUX<96>,
W53,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W54,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE4<4>,CFG_BBMUXE4<8>,CFG_BBMUXE4<5>,CFG_BBMUXE4<2>,CFG_BBMUXE4<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W55,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE5<4>,CFG_BBMUXE5<8>,CFG_BBMUXE5<5>,CFG_BBMUXE5<2>,CFG_BBMUXE5<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W56,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W57,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE5<9>,CFG_BBMUXE5<7>,CFG_BBMUXE5<6>,CFG_BBMUXE5<3>,CFG_BBMUXE5<1>,CFG_SEAMMUX<107>,CFG_SEAMMUX<106>,CFG_SEAMMUX<105>,CFG_SEAMMUX<104>,CFG_SEAMMUX<103>,CFG_SEAMMUX<102>,
