netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,
W30,CFG_RMUX7<47>,CFG_RMUX7<46>,CFG_RMUX7<44>,CFG_RMUX7<42>,CFG_RMUX7<40>,CFG_RMUX7<0>,CFG_RMUX7<2>,CFG_RMUX7<4>,CFG_RMUX7<6>,CFG_RMUX7<7>,CFG_RMUX7<27>,CFG_RMUX7<26>,CFG_RMUX7<24>,CFG_RMUX7<22>,CFG_RMUX7<20>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W31,CFG_RMUX7<48>,CFG_RMUX7<49>,CFG_RMUX7<45>,CFG_RMUX7<43>,CFG_RMUX7<41>,CFG_RMUX7<1>,CFG_RMUX7<3>,CFG_RMUX7<5>,CFG_RMUX7<9>,CFG_RMUX7<8>,CFG_RMUX7<28>,CFG_RMUX7<29>,CFG_RMUX7<25>,CFG_RMUX7<23>,CFG_RMUX7<21>,XXXX,XXXX,XXXX,CFG_SELOUTA,CFG_TILECLKENMUX<3>,CFG_TILECLKENMUX<1>,CFG_TILECLKMUX<3>,CFG_TILECLKMUX<2>,CFG_TILECLKMUX<1>,CFG_TILECLKMUX<0>,XXXX,
W32,XXXX,XXXX,CFG_SEAMMUX<0>,CFG_SEAMMUX<1>,CFG_SEAMMUX<2>,CFG_SEAMMUX<3>,CFG_SEAMMUX<4>,CFG_SEAMMUX<5>,CFG_SEAMMUX<12>,CFG_SEAMMUX<13>,CFG_SEAMMUX<14>,CFG_SEAMMUX<15>,CFG_SEAMMUX<16>,CFG_SEAMMUX<17>,XXXX,CFG_CTRLMUX<0>,CFG_CTRLMUX<2>,CFG_CTRLMUX<4>,CFG_CTRLMUX<9>,CFG_CTRLMUX<7>,CFG_CTRLMUX<17>,CFG_CTRLMUX<19>,CFG_CTRLMUX<14>,CFG_CTRLMUX<12>,CFG_CTRLMUX<10>,XXXX,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_CTRLMUX<1>,CFG_CTRLMUX<3>,CFG_CTRLMUX<5>,CFG_CTRLMUX<6>,CFG_CTRLMUX<8>,CFG_CTRLMUX<18>,CFG_CTRLMUX<16>,CFG_CTRLMUX<15>,CFG_CTRLMUX<13>,CFG_CTRLMUX<11>,XXXX,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_CTRLMUX<21>,CFG_CTRLMUX<23>,CFG_CTRLMUX<25>,CFG_CTRLMUX<26>,CFG_CTRLMUX<28>,CFG_CTRLMUX<38>,CFG_CTRLMUX<36>,CFG_CTRLMUX<35>,CFG_CTRLMUX<33>,CFG_CTRLMUX<31>,XXXX,
W35,XXXX,XXXX,CFG_SEAMMUX<6>,CFG_SEAMMUX<7>,CFG_SEAMMUX<8>,CFG_SEAMMUX<9>,CFG_SEAMMUX<10>,CFG_SEAMMUX<11>,CFG_SEAMMUX<18>,CFG_SEAMMUX<19>,CFG_SEAMMUX<20>,CFG_SEAMMUX<21>,CFG_SEAMMUX<22>,CFG_SEAMMUX<23>,XXXX,CFG_CTRLMUX<20>,CFG_CTRLMUX<22>,CFG_CTRLMUX<24>,CFG_CTRLMUX<29>,CFG_CTRLMUX<27>,CFG_CTRLMUX<37>,CFG_CTRLMUX<39>,CFG_CTRLMUX<34>,CFG_CTRLMUX<32>,CFG_CTRLMUX<30>,XXXX,
W36,CFG_RMUX8<7>,CFG_RMUX8<6>,CFG_RMUX8<4>,CFG_RMUX8<2>,CFG_RMUX8<0>,CFG_RMUX8<20>,CFG_RMUX8<22>,CFG_RMUX8<24>,CFG_RMUX8<26>,CFG_RMUX8<27>,CFG_RMUX8<47>,CFG_RMUX8<46>,CFG_RMUX8<44>,CFG_RMUX8<42>,CFG_RMUX8<40>,XXXX,XXXX,XXXX,CFG_TILECLKENMUX<4>,CFG_TILECLKENMUX<2>,CFG_TILECLKENMUX<0>,CFG_TILEASYNCMUX<3>,CFG_TILEASYNCMUX<2>,CFG_TILEASYNCMUX<1>,CFG_TILEASYNCMUX<0>,XXXX,
W37,CFG_RMUX8<8>,CFG_RMUX8<9>,CFG_RMUX8<5>,CFG_RMUX8<3>,CFG_RMUX8<1>,CFG_RMUX8<21>,CFG_RMUX8<23>,CFG_RMUX8<25>,CFG_RMUX8<29>,CFG_RMUX8<28>,CFG_RMUX8<48>,CFG_RMUX8<49>,CFG_RMUX8<45>,CFG_RMUX8<43>,CFG_RMUX8<41>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W38,CFG_RMUX9<7>,CFG_RMUX9<6>,CFG_RMUX9<4>,CFG_RMUX9<2>,CFG_RMUX9<0>,CFG_RMUX9<20>,CFG_RMUX9<22>,CFG_RMUX9<24>,CFG_RMUX9<26>,CFG_RMUX9<27>,CFG_RMUX9<47>,CFG_RMUX9<46>,CFG_RMUX9<44>,CFG_RMUX9<42>,CFG_RMUX9<40>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W39,CFG_RMUX9<8>,CFG_RMUX9<9>,CFG_RMUX9<5>,CFG_RMUX9<3>,CFG_RMUX9<1>,CFG_RMUX9<21>,CFG_RMUX9<23>,CFG_RMUX9<25>,CFG_RMUX9<29>,CFG_RMUX9<28>,CFG_RMUX9<48>,CFG_RMUX9<49>,CFG_RMUX9<45>,CFG_RMUX9<43>,CFG_RMUX9<41>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
